"id","respondent_type","instansi","unitkerja","target","data_populasi","data_clean","data_blast","data_blast_email","perolehan","perolehan_capi","perolehan_qrcode","persentase_capaian_target","persentase_response_rate_online","persentase_target_dari_populasi","persentase_clean_dari_populasi","jumlah_capi","jumlah_qr"
NA,"EKSTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","TOTAL",354,1203,1057,993,0,501,0,149,183.62,50.45,29.43,87.86,0,149
33865206,"EKSTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","ARSIP NASIONAL REPUBLIK INDONESIA",9,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33866134,"EKSTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","INSPEKTORAT",8,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33866267,"EKSTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","PUSAT JASA KEARSIPAN",9,35,29,27,0,26,0,16,466.67,96.3,25.71,82.86,0,16
33867967,"EKSTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","PUSAT STUDI ARSIP STATIS KEPRESIDENAN",40,150,32,26,0,9,0,8,42.5,34.62,26.67,21.33,0,8
33873097,"EKSTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","DEPUTI BIDANG INFORMASI DAN PENGEMBANGAN SISTEM KEARSIPAN",79,297,290,272,0,119,0,21,177.22,43.75,26.6,97.64,0,21
33873098,"EKSTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","DEPUTI BIDANG KONSERVASI ARSIP",20,74,71,63,0,20,0,4,120,31.75,27.03,95.95,0,4
33873099,"EKSTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","DEPUTI BIDANG PEMBINAAN KEARSIPAN",29,109,103,98,0,57,0,14,244.83,58.16,26.61,94.5,0,14
33873100,"EKSTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","PUSAT PENDIDIKAN DAN PELATIHAN KEARSIPAN",78,292,292,283,0,171,0,60,296.15,60.42,26.71,100,0,60
33876923,"EKSTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","BALAI ARSIP STATIS DAN TSUNAMI",8,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33876996,"EKSTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","PIMPINAN TERTINGGI",8,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33877015,"EKSTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","PUSAT AKREDITASI KEARSIPAN",12,43,43,39,0,33,0,20,441.67,84.62,27.91,100,0,20
33877078,"EKSTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","SEKRETARIAT UTAMA",54,203,197,185,0,66,0,6,133.33,35.68,26.6,97.04,0,6
33887095,"EKSTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","LAIN - LAIN",0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0
NA,"EKSTERNAL","BADAN AMIL ZAKAT NASIONAL","TOTAL",483,12826,9545,8063,2,1121,0,0,232.09,13.9,3.77,74.42,0,0
33872381,"EKSTERNAL","BADAN AMIL ZAKAT NASIONAL","DEPUTI IV (PENGENDALIAN DAN EVALUASI)",1,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33872407,"EKSTERNAL","BADAN AMIL ZAKAT NASIONAL","SEKRETARIAT UTAMA",4,110,104,85,0,10,0,0,250,11.76,3.64,94.55,0,0
33872779,"EKSTERNAL","BADAN AMIL ZAKAT NASIONAL","DEPUTI III (PERENCANAAN, PENGEMBANGAN DAN TEKNOLOGI INFORMASI)",1,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33887029,"EKSTERNAL","BADAN AMIL ZAKAT NASIONAL","DEPUTI II (PENDISTRIBUSIAN DAN PENDAYAGUNAAN)",386,10285,8210,6806,1,931,0,0,241.19,13.68,3.75,79.82,0,0
33887032,"EKSTERNAL","BADAN AMIL ZAKAT NASIONAL","DEPUTI I (PENGUMPULAN)",91,2431,1231,1172,1,180,0,0,197.8,15.35,3.74,50.64,0,0
33887740,"EKSTERNAL","BADAN AMIL ZAKAT NASIONAL","LAIN - LAIN",0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0
NA,"EKSTERNAL","BADAN INFORMASI GEOSPASIAL (BIG)","TOTAL",355,1218,904,553,317,227,0,26,71.27,26.09,29.15,74.22,0,26
33873101,"EKSTERNAL","BADAN INFORMASI GEOSPASIAL (BIG)","SEKRETARIAT UTAMA",213,779,595,274,301,112,0,1,53.05,19.48,27.34,76.38,0,1
33877090,"EKSTERNAL","BADAN INFORMASI GEOSPASIAL (BIG)","DEPUTI BIDANG INFORMASI GEOSPASIAL DASAR",117,429,299,271,15,109,0,21,111.11,38.11,27.27,69.7,0,21
33877117,"EKSTERNAL","BADAN INFORMASI GEOSPASIAL (BIG)","DEPUTI BIDANG INFORMASI GEOSPASIAL TEMATIK",8,0,0,0,0,3,0,3,75,0,Inf,NA,0,3
33877122,"EKSTERNAL","BADAN INFORMASI GEOSPASIAL (BIG)","DEPUTI BIDANG INFRASTRUKTUR INFORMASI GEOSPASIAL",9,10,10,8,1,3,0,1,44.44,33.33,90,100,0,1
33877139,"EKSTERNAL","BADAN INFORMASI GEOSPASIAL (BIG)","PIMPINAN TERTINGGI",8,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33887096,"EKSTERNAL","BADAN INFORMASI GEOSPASIAL (BIG)","LAIN - LAIN",0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0
NA,"EKSTERNAL","BADAN INTELIJEN NEGARA (BIN)","TOTAL",30,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33865213,"EKSTERNAL","BADAN INTELIJEN NEGARA (BIN)","DEPUTI BIDANG ANALISIS DAN PRODUKSI INTELIJEN",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33865214,"EKSTERNAL","BADAN INTELIJEN NEGARA (BIN)","DEPUTI BIDANG INTELIJEN DALAM NEGERI",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33865215,"EKSTERNAL","BADAN INTELIJEN NEGARA (BIN)","DEPUTI BIDANG INTELIJEN EKONOMI",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33875035,"EKSTERNAL","BADAN INTELIJEN NEGARA (BIN)","STAF AHLI",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33877164,"EKSTERNAL","BADAN INTELIJEN NEGARA (BIN)","BADAN INTELIJEN NEGARA (BIN)",1,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
