"id","respondent_type","instansi","unitkerja","target","data_populasi","data_clean","data_blast","data_blast_email","perolehan","perolehan_capi","perolehan_qrcode","persentase_capaian_target","persentase_response_rate_online","persentase_target_dari_populasi","persentase_clean_dari_populasi","jumlah_capi","jumlah_qr"
NA,"EKSTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","TOTAL",354,1203,1057,993,0,501,0,149,183.62,50.45,29.43,87.86,0,149
NA,"EKSTERNAL","BADAN AMIL ZAKAT NASIONAL","TOTAL",483,12826,9545,8063,2,1121,0,0,232.09,13.9,3.77,74.42,0,0
NA,"EKSTERNAL","BADAN INFORMASI GEOSPASIAL (BIG)","TOTAL",355,1218,904,553,317,227,0,26,71.27,26.09,29.15,74.22,0,26
NA,"EKSTERNAL","BADAN INTELIJEN NEGARA (BIN)","TOTAL",30,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
NA,"EKSTERNAL","BADAN KARANTINA INDONESIA","TOTAL",30,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
NA,"EKSTERNAL","BADAN KEAMANAN LAUT REPUBLIK INDONESIA","TOTAL",220,392,295,149,90,101,0,66,75.91,42.26,56.12,75.26,0,66
NA,"EKSTERNAL","BADAN KEPEGAWAIAN NEGARA (BKN)","TOTAL",358,1257,1166,1035,2,400,0,0,111.73,38.57,28.48,92.76,0,0
NA,"EKSTERNAL","BADAN KEPENDUDUKAN DAN KELUARGA BERENCANA NASIONAL (BKKBN)","TOTAL",463,5987,5390,4855,1,1252,0,0,270.41,25.78,7.73,90.03,0,0
NA,"EKSTERNAL","BADAN METEOROLOGI KLIMATOLOGI DAN GEOFISIKA (BMKG)","TOTAL",270,584,4,225,3,39,0,0,14.44,17.11,46.23,0.68,0,0
NA,"EKSTERNAL","BADAN NARKOTIKA NASIONAL (BNN)","TOTAL",296,726,529,454,3,85,0,0,28.72,18.6,40.77,72.87,0,0
NA,"EKSTERNAL","BADAN NASIONAL PENANGGULANGAN BENCANA (BNPB)","TOTAL",142,200,166,175,0,195,0,103,209.86,111.43,71,83,0,103
NA,"EKSTERNAL","BADAN NASIONAL PENANGGULANGAN TERORISME (BNPT)","TOTAL",304,772,758,634,3,215,0,18,76.64,33.75,39.38,98.19,0,18
NA,"EKSTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","TOTAL",438,3471,2509,2171,10,360,0,0,82.19,16.51,12.62,72.28,0,0
NA,"EKSTERNAL","BADAN NASIONAL PENGELOLA PERBATASAN (BNPP)","TOTAL",128,173,155,143,0,75,0,31,82.81,52.45,73.99,89.6,0,31
NA,"EKSTERNAL","BADAN NASIONAL SERTIFIKASI PROFESI","TOTAL",329,957,905,837,4,301,0,0,91.49,35.79,34.38,94.57,0,0
NA,"EKSTERNAL","BADAN PANGAN NASIONAL","TOTAL",30,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
NA,"EKSTERNAL","BADAN PELINDUNGAN PEKERJA MIGRAN INDONESIA","TOTAL",471,7630,7144,5518,2,274,0,0,58.17,4.96,6.17,93.63,0,0
NA,"EKSTERNAL","BADAN PEMBINAAN IDEOLOGI PANCASILA REPUBLIK INDONESIA","TOTAL",318,872,685,636,5,214,0,0,67.3,33.39,36.47,78.56,0,0
NA,"EKSTERNAL","BADAN PEMERIKSA KEUANGAN (BPK-RI)","TOTAL",351,4480,2458,2494,106,1080,0,0,307.69,41.54,7.83,54.87,0,0
