"id","respondent_type","instansi","unitkerja","target","data_populasi","data_clean","data_blast","data_blast_email","perolehan","perolehan_capi","perolehan_qrcode","persentase_capaian_target","persentase_response_rate_online","persentase_target_dari_populasi","persentase_clean_dari_populasi","jumlah_capi","jumlah_qr"
NA,"INTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","TOTAL",268,578,572,521,0,385,0,0,143.66,73.9,46.37,98.96,0,0
33842667,"INTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","ARSIP NASIONAL REPUBLIK INDONESIA",12,1,0,0,0,0,0,0,0,0,1200,0,0,0
33843595,"INTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","INSPEKTORAT",12,2,2,2,0,2,0,0,16.67,100,600,100,0,0
33843728,"INTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","PUSAT JASA KEARSIPAN",13,34,34,29,0,22,0,0,169.23,75.86,38.24,100,0,0
33845428,"INTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","PUSAT STUDI ARSIP STATIS KEPRESIDENAN",12,11,11,11,0,11,0,0,91.67,100,109.09,100,0,0
33850558,"INTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","DEPUTI BIDANG INFORMASI DAN PENGEMBANGAN SISTEM KEARSIPAN",18,49,48,43,0,28,0,0,155.56,65.12,36.73,97.96,0,0
33850559,"INTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","DEPUTI BIDANG KONSERVASI ARSIP",58,153,152,140,0,100,0,0,172.41,71.43,37.91,99.35,0,0
33850560,"INTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","DEPUTI BIDANG PEMBINAAN KEARSIPAN",28,75,74,67,0,50,0,0,178.57,74.63,37.33,98.67,0,0
33850561,"INTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","PUSAT PENDIDIKAN DAN PELATIHAN KEARSIPAN",12,30,30,27,0,26,0,0,216.67,96.3,40,100,0,0
33854384,"INTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","BALAI ARSIP STATIS DAN TSUNAMI",12,28,27,24,0,16,0,0,133.33,66.67,42.86,96.43,0,0
33854457,"INTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","PIMPINAN TERTINGGI",12,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
