"id","respondent_type","instansi","unitkerja","target","data_populasi","data_clean","data_blast","data_blast_email","perolehan","perolehan_capi","perolehan_qrcode","persentase_capaian_target","persentase_response_rate_online","persentase_target_dari_populasi","persentase_clean_dari_populasi","jumlah_capi","jumlah_qr"
NA,"INTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","TOTAL",268,578,572,521,0,385,0,0,143.66,73.9,46.37,98.96,0,0
NA,"INTERNAL","BADAN AMIL ZAKAT NASIONAL","TOTAL",119,157,136,132,0,74,0,0,62.18,56.06,75.8,86.62,0,0
NA,"INTERNAL","BADAN INFORMASI GEOSPASIAL (BIG)","TOTAL",285,663,642,600,0,301,0,0,105.61,50.17,42.99,96.83,0,0
NA,"INTERNAL","BADAN INTELIJEN NEGARA (BIN)","TOTAL",30,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
NA,"INTERNAL","BADAN KARANTINA INDONESIA","TOTAL",30,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
NA,"INTERNAL","BADAN KEAMANAN LAUT REPUBLIK INDONESIA","TOTAL",386,1670,898,869,21,330,0,0,85.49,37.08,23.11,53.77,0,0
NA,"INTERNAL","BADAN KEPEGAWAIAN NEGARA (BKN)","TOTAL",413,2344,2331,2221,0,563,0,0,136.32,25.35,17.62,99.45,0,0
NA,"INTERNAL","BADAN KEPENDUDUKAN DAN KELUARGA BERENCANA NASIONAL (BKKBN)","TOTAL",490,21485,20324,18240,6,5953,0,0,1214.9,32.63,2.28,94.6,0,0
NA,"INTERNAL","BADAN METEOROLOGI KLIMATOLOGI DAN GEOFISIKA (BMKG)","TOTAL",448,4227,4072,1862,1359,675,0,0,150.67,20.96,10.6,96.33,0,0
NA,"INTERNAL","BADAN NARKOTIKA NASIONAL (BNN)","TOTAL",461,5603,2781,2319,39,548,0,0,118.87,23.24,8.23,49.63,0,0
NA,"INTERNAL","BADAN NASIONAL PENANGGULANGAN BENCANA (BNPB)","TOTAL",96,120,120,112,0,100,0,0,104.17,89.29,80,100,0,0
NA,"INTERNAL","BADAN NASIONAL PENANGGULANGAN TERORISME (BNPT)","TOTAL",280,633,595,526,0,196,0,0,70,37.26,44.23,94,0,0
NA,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","TOTAL",448,4234,3508,3393,8,1093,0,0,243.97,32.14,10.58,82.85,0,0
NA,"INTERNAL","BADAN NASIONAL PENGELOLA PERBATASAN (BNPP)","TOTAL",227,417,411,378,0,245,0,0,107.93,64.81,54.44,98.56,0,0
NA,"INTERNAL","BADAN NASIONAL SERTIFIKASI PROFESI","TOTAL",62,71,64,91,0,51,0,0,82.26,56.04,87.32,90.14,0,0
NA,"INTERNAL","BADAN PANGAN NASIONAL","TOTAL",30,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
NA,"INTERNAL","BADAN PELINDUNGAN PEKERJA MIGRAN INDONESIA","TOTAL",345,1112,886,784,1,324,0,0,93.91,41.27,31.03,79.68,0,0
NA,"INTERNAL","BADAN PEMBINAAN IDEOLOGI PANCASILA REPUBLIK INDONESIA","TOTAL",178,276,228,212,1,131,0,0,73.6,61.5,64.49,82.61,0,0
NA,"INTERNAL","BADAN PEMERIKSA KEUANGAN (BPK-RI)","TOTAL",408,8412,6857,7039,2,4507,0,0,1104.66,64.01,4.85,81.51,0,0
NA,"INTERNAL","BADAN PENGAWAS OBAT DAN MAKANAN (BPOM)","TOTAL",462,5837,4550,4462,21,2237,0,0,484.2,49.9,7.92,77.95,0,0
NA,"INTERNAL","BADAN PENGAWAS PEMILIHAN UMUM","TOTAL",482,12408,9113,7406,25,1968,0,0,408.3,26.48,3.88,73.44,0,0
NA,"INTERNAL","BADAN PENGAWAS TENAGA NUKLIR (BAPETEN)","TOTAL",229,424,378,349,3,207,0,0,90.39,58.81,54.01,89.15,0,0
NA,"INTERNAL","BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN (BPKP)","TOTAL",461,5687,5032,2486,4,911,0,0,197.61,36.59,8.11,88.48,0,0
NA,"INTERNAL","BADAN PENGELOLA KEUANGAN HAJI (BPKH)","TOTAL",63,126,122,112,1,75,0,0,119.05,66.37,50,96.83,0,0
